seq_ID,cnt1,cnt2,cnt3,cnt4,cnt5,opt1,opt2,opt3,opt4,opt5,fun1,fun2,fun3,fun4,fun5,file_old,file_new,min_flag
1.0,5489.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2794.0,0.0,0.0,0.0,0.0,data.3rr1epo,3rr1epo.00001,1.0
2.0,5557.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,data.3rr1epo,3rr1epo.00002,1.0
3.0,5476.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4989.0,0.0,0.0,0.0,0.0,data.3rr1epo,3rr1epo.00003,1.0
4.0,5531.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2794.0,0.0,0.0,0.0,0.0,data.3rr1epo,3rr1epo.00004,1.0
5.0,5420.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2677.0,0.0,0.0,0.0,0.0,data.3rr1epo,3rr1epo.00005,1.0
6.0,5350.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5350.0,0.0,0.0,0.0,0.0,data.3rr1epo,3rr1epo.00006,1.0
7.0,5476.0,3332.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4989.0,3379.0,0.0,0.0,0.0,3rr1epo.00003,3rr1epo.00007,1.0
8.0,5557.0,1905.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,501.0,1925.0,0.0,0.0,0.0,3rr1epo.00002,3rr1epo.00008,1.0
9.0,5476.0,3332.0,3395.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,4989.0,3379.0,3413.0,0.0,0.0,3rr1epo.00007,3rr1epo.00009,0.0
10.0,5420.0,5424.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,2677.0,2350.0,0.0,0.0,0.0,3rr1epo.00005,3rr1epo.00010,0.0
11.0,5531.0,3208.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5531.0,3313.0,0.0,0.0,0.0,3rr1epo.00004,3rr1epo.00011,1.0
12.0,5420.0,2163.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,2677.0,2140.0,0.0,0.0,0.0,3rr1epo.00005,3rr1epo.00012,0.0
13.0,5557.0,2301.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,501.0,2301.0,0.0,0.0,0.0,3rr1epo.00002,3rr1epo.00013,1.0
