seq_ID,cnt1,cnt2,cnt3,cnt4,cnt5,opt1,opt2,opt3,opt4,opt5,fun1,fun2,fun3,fun4,fun5,file_old,file_new,min_flag
1,5557,0,0,0,0,4,0,0,0,0,501,0,0,0,0,data.3rr1epo,data.00001,1
2,5476,0,0,0,0,1,0,0,0,0,4989,0,0,0,0,data.3rr1epo,data.00002,1
3,5531,0,0,0,0,2,0,0,0,0,2794,0,0,0,0,data.3rr1epo,data.00003,1
4,5420,0,0,0,0,3,0,0,0,0,2677,0,0,0,0,data.3rr1epo,data.00004,1
5,5350,0,0,0,0,5,0,0,0,0,5350,0,0,0,0,data.3rr1epo,data.00005,1
6,5476,3332,0,0,0,1,4,0,0,0,4989,3379,0,0,0,data.00002,data.00006,1
7,5557,1905,0,0,0,4,4,0,0,0,501,1925,0,0,0,data.00001,data.00007,1
8,5531,3350,0,0,0,2,3,0,0,0,2794,3378,0,0,0,data.00003,data.00008,1
9,5557,3261,0,0,0,4,6,0,0,0,501,3314,0,0,0,data.00001,data.00009,1
10,5476,3332,1964,0,0,1,4,6,0,0,4989,3379,1929,0,0,data.00006,data.00010,1
11,5372,0,0,0,0,6,0,0,0,0,2043,0,0,0,0,data.3rr1epo,data.00011,1
12,5339,0,0,0,0,6,0,0,0,0,4989,0,0,0,0,data.3rr1epo,data.00012,1
13,5476,3508,0,0,0,1,6,0,0,0,4989,3560,0,0,0,data.00002,data.00013,1
